"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"mmu04062","mmu04062","Chemokine signaling pathway",111,0.506931044058249,1.86809462667564,6.32071297642374e-05,0.00155166073038887,0.0011772682233299,2159,"tags=35%, list=17%, signal=30%","20296/14825/18035/330122/20312/20310/19354/66102/20297/56744/20848/16452/20306/14677/20311/17096/57349/320207/20308/18033/11652/14773/11512/15945/20295/12015/19697/22325/216869/110355/18710/11515/26385/18795/109689/18753/16453/14701/56484"
"mmu03040","mmu03040","Spliceosome",127,0.476964722846024,1.78713050672445,6.35122261035249e-05,0.00155166073038887,0.0011772682233299,3333,"tags=38%, list=26%, signal=28%","15511/15481/108121/68988/67959/15512/54633/230596/193740/53817/67678/107701/15382/319322/212880/20638/66101/76936/15387/67229/67332/101214/28000/20641/76522/67465/22185/17149/192170/20383/66354/68011/15381/107686/57905/66094/331401/20826/100862468/14105/56215/56009/20630/68479/66585/20382/20222/23983/101943"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction",104,0.603156003113231,2.19876061063218,6.36051392952551e-05,0.00155166073038887,0.0011772682233299,1716,"tags=50%, list=13%, signal=44%","20296/14825/12977/330122/16165/20312/20310/232983/54448/21926/21938/14102/66102/16193/20297/18383/56744/20306/16164/12985/20311/230828/326623/12981/16195/57349/21950/16169/21942/16190/20308/11479/21944/16994/18414/18049/16155/15945/69583/20295/16878/12156/11480/21808/21809/16174/15979/21937/16880/16182/15976/12159"
"mmu04668","mmu04668","TNF signaling pathway",104,0.60169995888276,2.1934527090532,6.36051392952551e-05,0.00155166073038887,0.0011772682233299,1534,"tags=42%, list=12%, signal=38%","22329/15894/20296/14825/16362/12977/18035/330122/20312/20310/53859/21926/21938/14102/21929/16193/14281/20297/12702/13614/20311/12981/12051/11796/15953/18033/19094/11652/15945/22029/16449/19697/16878/22030/22341/257632/432555/12913/29857/18710/208647/21937/26427/26397"
"mmu05145","mmu05145","Toxoplasmosis",79,0.567366869621565,1.98429719401137,6.4316953949061e-05,0.00155166073038887,0.0011772682233299,1534,"tags=37%, list=12%, signal=33%","18126/18035/15944/21926/16780/20848/16452/15511/14677/11796/15481/320207/16835/18033/19094/11652/15512/16155/193740/12015/19697/21808/16179/21809/29857/13063/15979/21937/26397"
"mmu05142","mmu05142","Chagas disease (American trypanosomiasis)",73,0.548656787787297,1.8956881937535,6.45536117745788e-05,0.00155166073038887,0.0011772682233299,1914,"tags=38%, list=15%, signal=33%","20296/12266/18126/18035/18787/21926/14102/16193/14281/14677/11421/18033/19094/11652/106759/19697/73699/21808/16179/21809/29857/14682/15979/18710/21937/72930/18795/26398"
"mmu04064","mmu04064","NF-kappa B signaling pathway",71,0.616805832413761,2.12042906060337,6.45994832041344e-05,0.00155166073038887,0.0011772682233299,983,"tags=34%, list=8%, signal=31%","22329/15894/14825/12475/18035/330122/20310/53859/21926/16803/21929/240354/17873/17096/18034/105844/11796/18033/16994/22029/19698/106759/19697/22030"
"mmu04657","mmu04657","IL-17 signaling pathway",71,0.573332792848385,1.97097927980858,6.45994832041344e-05,0.00155166073038887,0.0011772682233299,983,"tags=35%, list=8%, signal=33%","20296/14825/18035/330122/20310/21926/21929/16193/14281/20297/74180/56489/20306/12985/20311/12981/16819/14282/18033/19094/20202/15945/20295/19697/22030"
"mmu05133","mmu05133","Pertussis",50,0.655023490047723,2.11369802673657,6.53253200940685e-05,0.00155166073038887,0.0011772682233299,1661,"tags=46%, list=13%, signal=40%","12266/16362/18126/50908/12475/50909/21926/16193/14281/14677/20311/12269/18033/19094/15139/106759/19697/16179/29857/12268/16402/12314/12631"
"mmu04976","mmu04976","Bile secretion",37,0.676601809828502,2.06495329553821,6.53893938403191e-05,0.00155166073038887,0.0011772682233299,1561,"tags=51%, list=12%, signal=45%","11931/12349/13849/108096/12638/76408/20494/11928/16835/12780/54403/20544/11512/232156/11826/11833/11933/20186/11515"
